Date,Ticker,Close,High,Low,Open,Volume
2015-01-02,AAPL,24.214893341064453,24.68222562747745,23.776353422468404,24.671150729967486,212818400.0
2015-01-02,AMZN,15.425999641418455,15.737500190734863,15.347999572753906,15.628999710083008,55664000.0
2015-01-02,MSFT,39.76768493652344,40.32899090171103,39.58058511096881,39.68263985620423,27913900.0
2015-01-02,NVDA,0.483011394739151,0.4866106106108893,0.4753331056845062,0.483011394739151,113680000.0
2015-01-02,TSLA,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000.0
2015-01-05,AAPL,23.53271484375,24.064277681708337,23.34666877985001,23.984543171525004,257142000.0
2015-01-05,AMZN,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000.0
2015-01-05,MSFT,39.4019775390625,39.742161010004885,39.33393889831745,39.43599361517407,39673900.0
2015-01-05,NVDA,0.4748531877994537,0.4844510484715717,0.4726936870255995,0.483011362219805,197952000.0
2015-01-05,TSLA,14.005999565124512,14.43333339691162,13.810667037963867,14.303333282470703,80527500.0
2015-01-06,AAPL,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400.0
2015-01-06,AMZN,14.76449966430664,15.149999618530272,14.619000434875488,15.112000465393066,70380000.0
2015-01-06,MSFT,38.82368087768555,39.75918993130537,38.73012932347106,39.44451917607143,36447900.0
2015-01-06,NVDA,0.460456520318985,0.4760530001608192,0.459976634352304,0.4755731141941383,197764000.0
2015-01-06,TSLA,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500.0
2015-01-07,AAPL,23.86495018005371,23.964617509529127,23.63239082488801,23.743133053101715,160423600.0
2015-01-07,AMZN,14.92099952697754,15.064000129699709,14.76650047302246,14.875,52806000.0
2015-01-07,MSFT,39.31693649291992,39.51254275476391,38.68759517120648,39.10432056775103,29114100.0
2015-01-07,NVDA,0.4592567384243011,0.4678947992489874,0.4578170520855876,0.4638156974905648,321808000.0
2015-01-07,TSLA,14.063332557678224,14.3186674118042,13.985333442687988,14.223333358764648,44526000.0
2015-01-08,AAPL,24.78188133239746,24.83946773083683,24.075345785125823,24.192733898426823,237458000.0
2015-01-08,AMZN,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000.0
2015-01-08,MSFT,40.47357177734375,40.60964585357478,39.73366919060389,39.75918206606536,29645200.0
2015-01-08,NVDA,0.4765328168869018,0.4794121894762137,0.4642955691937164,0.4645355264440913,283780000.0
2015-01-08,TSLA,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994627,51637500.0
2015-01-09,AAPL,24.8084716796875,25.08311190198466,24.409799026520567,24.9546505259873,214798000.0
2015-01-09,AMZN,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581545,51848000.0
2015-01-09,MSFT,40.13338851928711,40.66918166126708,39.88675646470398,40.49058502869448,23944200.0
2015-01-09,NVDA,0.4784524738788605,0.4820516902534211,0.4717339843193501,0.4782125451897576,209540000.0
2015-01-09,TSLA,13.77733325958252,13.998666763305664,13.663999557495115,13.928000450134276,70024500.0
2015-01-12,AAPL,24.197174072265625,24.945790840272345,24.097506754292127,24.93914657771306,198603200.0
2015-01-12,AMZN,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000.0
2015-01-12,MSFT,39.631614685058594,40.43105279193998,39.42750517489556,40.32899479259629,23651900.0
2015-01-12,NVDA,0.4724538624286651,0.4798921958115219,0.4681348310645484,0.479652238500925,190732000.0
2015-01-12,TSLA,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500.0
2015-01-13,AAPL,24.412012100219727,24.98344228730691,24.121868061955624,24.68000803529737,268367600.0
2015-01-13,AMZN,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000.0
2015-01-13,MSFT,39.42750549316406,40.74572384150376,39.17236698126964,39.9462889724313,35270600.0
2015-01-13,NVDA,0.471733957529068,0.4856508218397424,0.468374727241988,0.4760529883294566,236720000.0
2015-01-13,TSLA,13.616666793823242,13.84066677093506,13.394000053405762,13.554667472839355,67159500.0
2015-01-14,AAPL,24.318998336791992,24.471821489973493,24.031067816074064,24.150669646689547,195826400.0
2015-01-14,AMZN,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000.0
2015-01-14,MSFT,39.08730316162109,39.32543515673653,38.7981454309002,39.08730316162109,29719600.0
2015-01-14,NVDA,0.473653495311737,0.47509318167451,0.4654953488661516,0.4666950779671964,155260000.0
2015-01-14,TSLA,12.845999717712402,13.013333320617676,12.333333015441896,12.388667106628418,173278500.0
2015-01-15,AAPL,23.658966064453125,24.376575123869163,23.62352943536436,24.36328659918488,240056000.0
2015-01-15,AMZN,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000.0
